,1,2,3,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.000000,0.000000,0.000000,
,1,2,3,
,1,1,2,
0.000000,0.
